customer_id,credit_score,credit_utilization,debt_ratio,open_credit_lines,past_due_30_59,past_due_60_89,past_due_90plus,real_estate_loans
CUST000000,598,0.4871,0.6783,4,0,0,0,1
CUST000001,792,0.0523,0.3178,2,0,0,0,0
CUST000002,349,0.601,0.5696,0,0,0,0,0
CUST000003,739,0.5873,0.0441,8,0,0,0,1
CUST000004,491,0.0241,0.1065,5,0,0,0,0
CUST000005,692,0.0764,0.2268,3,1,0,0,1
CUST000006,549,0.4641,0.8879,3,0,0,0,0
CUST000007,653,0.4139,0.2482,4,1,0,0,0
CUST000008,605,0.1138,0.416,6,1,0,0,1
CUST000009,678,0.5199,0.3369,4,0,1,0,1
CUST000010,702,0.5072,0.1162,3,0,0,1,1
CUST000011,695,0.1065,0.6393,2,0,0,0,1
CUST000012,584,0.2017,0.5482,2,0,1,0,0
CUST000013,674,0.17,0.2429,3,0,0,0,0
CUST000014,733,0.1156,0.3727,4,1,0,0,1
CUST000015,629,0.2155,0.2752,5,0,0,0,1
CUST000016,665,0.3459,0.6886,1,0,0,0,2
CUST000017,548,0.2204,0.352,1,0,0,0,1
CUST000018,676,0.1371,0.4745,4,2,1,0,2
CUST000019,592,0.17,0.3769,5,0,1,0,1
CUST000020,631,0.1022,0.3838,5,0,0,0,1
CUST000021,649,0.4719,0.5258,9,0,0,0,0
CUST000022,668,0.229,0.2367,4,0,1,0,1
CUST000023,613,0.0604,0.0969,2,0,0,0,0
CUST000024,799,0.0785,0.2461,2,1,0,0,0
CUST000025,563,0.4905,0.0782,5,0,0,0,0
CUST000026,506,0.2647,0.1067,5,0,0,0,0
CUST000027,536,0.135,0.2377,3,1,0,0,1
CUST000028,558,0.6365,0.4412,6,2,0,0,0
CUST000029,650,0.5244,0.0436,2,2,0,0,0
CUST000030,812,0.2454,0.2072,1,0,1,0,1
CUST000031,684,0.0555,0.339,3,0,0,0,1
CUST000032,626,0.4657,0.1153,5,0,0,0,0
CUST000033,586,0.7469,0.3275,3,1,1,0,0
CUST000034,754,0.4351,0.3697,6,1,0,0,0
CUST000035,550,0.3431,0.048,1,2,0,2,0
CUST000036,506,0.2686,0.1296,3,1,0,0,0
CUST000037,570,0.2898,0.4209,4,1,0,1,0
CUST000038,601,0.0172,0.1871,1,0,0,0,0
CUST000039,702,0.3766,0.299,1,1,0,0,1
CUST000040,722,0.2191,0.2178,6,0,0,0,1
CUST000041,696,0.4623,0.0739,5,0,0,0,0
CUST000042,448,0.3673,0.6135,1,0,0,0,1
CUST000043,650,0.4006,0.1452,2,0,0,0,0
CUST000044,653,0.098,0.606,2,0,0,0,0
CUST000045,685,0.3021,0.322,3,0,0,0,0
CUST000046,512,0.2657,0.1473,2,1,0,0,0
CUST000047,611,0.1621,0.617,9,0,0,1,1
CUST000048,608,0.1352,0.3454,5,1,0,0,0
CUST000049,730,0.311,0.0746,2,0,0,0,1
CUST000050,651,0.1892,0.0546,6,0,0,0,0
CUST000051,587,0.3158,0.1365,4,0,0,0,2
CUST000052,484,0.3537,0.5148,7,1,1,0,1
CUST000053,526,0.3157,0.5729,4,0,1,0,0
CUST000054,700,0.3495,0.2913,2,0,0,0,0
CUST000055,449,0.2003,0.3019,2,2,0,0,0
CUST000056,472,0.1831,0.4313,7,1,0,0,1
CUST000057,717,0.1448,0.1043,7,2,1,0,0
CUST000058,706,0.4992,0.498,5,1,0,1,0
CUST000059,526,0.1636,0.1567,3,0,0,0,0
CUST000060,623,0.1971,0.1614,5,0,0,0,2
CUST000061,779,0.1358,0.2137,4,0,0,0,0
CUST000062,652,0.3984,0.4297,5,1,0,0,0
CUST000063,680,0.237,0.1833,2,0,1,0,0
CUST000064,783,0.1806,0.545,7,1,0,0,0
CUST000065,813,0.1303,0.4481,6,0,0,0,1
CUST000066,650,0.3986,0.4027,3,0,1,1,2
CUST000067,777,0.2237,0.366,3,0,0,0,0
CUST000068,728,0.1136,0.7812,5,0,0,0,1
CUST000069,605,0.3269,0.2716,7,0,0,0,0
CUST000070,683,0.3219,0.2512,9,0,1,0,1
CUST000071,487,0.2111,0.2819,6,1,1,0,0
CUST000072,700,0.3472,0.3975,1,0,0,0,0
CUST000073,600,0.3125,0.2487,1,0,0,0,1
CUST000074,576,0.1488,0.1905,4,0,0,0,0
CUST000075,740,0.2812,0.3157,1,0,1,0,1
CUST000076,556,0.5993,0.1762,6,0,0,0,0
CUST000077,681,0.3525,0.4763,5,0,0,0,0
CUST000078,732,0.2015,0.6472,3,0,0,0,0
CUST000079,607,0.1397,0.4643,5,1,2,0,0
CUST000080,664,0.311,0.4057,5,0,0,1,1
CUST000081,579,0.2009,0.2768,7,0,0,0,0
CUST000082,564,0.2887,0.847,4,1,0,0,1
CUST000083,627,0.429,0.7509,3,0,0,0,0
CUST000084,900,0.1207,0.1205,2,0,0,0,0
CUST000085,810,0.0511,0.2598,2,0,0,0,0
CUST000086,601,0.2489,0.3995,4,1,0,0,0
CUST000087,636,0.1514,0.5739,1,0,0,0,1
