customer_id,age,income,employment_type,dependents
CUST000000,59,567111.36,Salaried,0
CUST000001,49,584987.71,Salaried,0
CUST000002,35,364507.28,Self-Employed,5
CUST000003,63,784392.5,Salaried,2
CUST000004,28,563901.15,Salaried,2
CUST000005,41,734059.31,Salaried,2
CUST000006,59,637231.35,Salaried,2
CUST000007,39,524581.06,Self-Employed,3
CUST000008,43,446961.6,Salaried,0
CUST000009,31,867389.2,Salaried,0
CUST000010,31,793186.74,Self-Employed,0
CUST000011,44,263709.78,Unemployed,0
CUST000012,56,280122.01,Self-Employed,1
CUST000013,60,639604.58,Salaried,1
CUST000014,44,481002.89,Salaried,1
CUST000015,23,1077464.65,Business Owner,1
CUST000016,42,643833.48,Salaried,3
CUST000017,22,417202.71,Self-Employed,1
CUST000018,44,565707.03,Salaried,1
CUST000019,64,913615.22,Salaried,0
CUST000020,50,845875.11,Business Owner,4
CUST000021,58,100000.0,Self-Employed,3
CUST000022,22,392769.78,Self-Employed,5
CUST000023,41,435709.64,Salaried,3
CUST000024,53,462034.93,Salaried,0
CUST000025,32,641869.52,Self-Employed,0
CUST000026,42,678182.55,Self-Employed,1
CUST000027,64,473542.86,Salaried,1
CUST000028,45,517397.29,Salaried,1
CUST000029,47,495276.17,Salaried,1
CUST000030,62,225905.21,Unemployed,3
CUST000031,48,684159.77,Self-Employed,0
CUST000032,36,1170776.29,Business Owner,1
CUST000033,35,445191.4,Salaried,1
CUST000034,64,100000.0,Unemployed,3
CUST000035,23,784571.59,Salaried,0
CUST000036,57,887837.51,Salaried,2
CUST000037,27,197372.16,Business Owner,5
CUST000038,41,936223.02,Salaried,1
CUST000039,29,584098.18,Salaried,1
CUST000040,59,625226.16,Salaried,1
CUST000041,38,402317.11,Salaried,1
CUST000042,24,145048.27,Self-Employed,1
CUST000043,45,100000.0,Self-Employed,0
CUST000044,34,706164.47,Self-Employed,6
CUST000045,29,483452.69,Self-Employed,2
CUST000046,46,592156.48,Self-Employed,0
CUST000047,22,769967.54,Salaried,1
CUST000048,40,585630.07,Salaried,1
CUST000049,48,234473.33,Unemployed,2
CUST000050,27,476187.89,Salaried,0
CUST000051,64,416477.45,Self-Employed,0
CUST000052,28,464576.74,Salaried,1
CUST000053,55,667101.25,Self-Employed,1
CUST000054,34,722712.01,Self-Employed,1
CUST000055,37,532061.63,Salaried,1
CUST000056,56,391027.9,Salaried,1
CUST000057,60,746122.27,Self-Employed,1
CUST000058,24,467887.63,Salaried,3
CUST000059,22,539579.86,Salaried,0
CUST000060,26,285348.68,Self-Employed,0
CUST000061,62,643118.78,Salaried,1
CUST000062,24,592015.17,Business Owner,0
CUST000063,49,705211.1,Salaried,2
CUST000064,38,516036.04,Salaried,1
CUST000065,46,607568.92,Self-Employed,1
CUST000066,64,461297.26,Salaried,4
CUST000067,54,783939.43,Salaried,1
CUST000068,30,525014.61,Salaried,2
CUST000069,56,613510.23,Salaried,0
CUST000070,34,421814.94,Salaried,0
CUST000071,51,597587.98,Salaried,1
CUST000072,35,427381.88,Salaried,0
CUST000073,28,593415.76,Salaried,1
CUST000074,34,307693.42,Self-Employed,1
CUST000075,43,468929.58,Self-Employed,0
CUST000076,60,669888.15,Salaried,1
CUST000077,41,225532.32,Self-Employed,1
CUST000078,36,882588.58,Business Owner,1
CUST000079,38,581661.92,Self-Employed,1
CUST000080,44,580814.34,Self-Employed,0
CUST000081,46,887757.36,Salaried,0
CUST000082,45,602196.62,Business Owner,1
CUST000083,61,599578.72,Salaried,2
CUST000084,49,862158.27,Salaried,3
CUST000085,35,225348.76,Self-Employed,0
CUST000086,21,255368.02,Salaried,1
CUST000087,45,680335.75,Salaried,0
CUST000088,27,708644.71,Self-Employed,0
CUST000089,29,100000.0,Self-Employed,0
CUST000090,44,436039.83,Self-Employed,1
CUST000091,21,492825.35,Business Owner,0
CUST000092,64,646451.29,Salaried,1
CUST000093,28,594922.86,Salaried,4
CUST000094,44,761789.23,Self-Employed,0
CUST000095,31,398271.69,Salaried,2
CUST000096,37,577206.69,Self-Employed,0
CUST000097,28,693241.84,Salaried,0
CUST000098,55,607551.4,Salaried,1
CUST000099,55,298965.9,Salaried,1
CUST000100,53,583107.97,Self-Employed,1
CUST000101,25,490401.68,Salaried,2
CUST000102,62,338508.52,Salaried,0
CUST000103,59,655380.41,Salaried,0
CUST000104,61,715080.25,Salaried,2
CUST000105,48,507690.05,Salaried,0
CUST000106,27,725076.25,Salaried,1
CUST000107,29,726582.18,Salaried,0
CUST000108,28,597381.85,Salaried,1
CUST000109,32,689450.8,Salaried,0
CUST000110,54,695271.95,Self-Employed,1
CUST000111,53,1110018.59,Business Owner,1
CUST000112,43,256952.28,Salaried,0
CUST000113,44,221947.73,Salaried,1
CUST000114,57,759909.37,Salaried,0
CUST000115,55,362316.48,Self-Employed,1
CUST000116,64,525606.29,Salaried,0
CUST000117,60,883499.1,Salaried,1
CUST000118,42,353264.02,Self-Employed,0
CUST000119,47,579230.36,Salaried,1
CUST000120,55,502493.69,Self-Employed,1
CUST000121,21,568056.52,Salaried,0
CUST000122,55,768816.28,Self-Employed,2
CUST000123,57,543809.52,Salaried,0
CUST000124,34,1187740.26,Business Owner,1
CUST000125,23,514052.12,Self-Employed,0
CUST000126,21,745039.85,Salaried,1
CUST000127,25,394207.61,Salaried,0
CUST000128,46,261965.6,Salaried,2
CUST000129,34,911899.59,Business Owner,0
CUST000130,59,561019.87,Business Owner,1
CUST000131,47,819731.99,Salaried,2
