customer_id,loan_amount,tenure_months,interest_rate,loan_type,application_date,default_flag
CUST000000,606308.93,36,8.5,Business,2023-06-04,0
CUST000001,402686.4,24,11.35,Auto,2024-05-21,0
CUST000002,169841.76,60,7.81,Education,2023-07-10,0
CUST000003,1086964.37,60,13.61,Personal,2024-01-26,0
CUST000004,739753.94,120,8.81,Auto,2024-09-11,0
CUST000005,675353.65,48,9.86,Personal,2024-05-12,0
CUST000006,202448.42,120,6.0,Home,2025-01-10,0
CUST000007,108136.47,12,8.13,Personal,2025-10-23,0
CUST000008,21154.75,12,10.04,Personal,2025-08-23,0
CUST000009,77035.54,120,13.14,Auto,2024-10-21,0
CUST000010,920106.27,84,13.75,Education,2024-06-28,0
CUST000011,215085.95,12,12.38,Business,2023-12-29,0
CUST000012,645763.16,12,9.61,Business,2025-09-26,1
CUST000013,76317.27,48,13.95,Business,2024-12-11,0
CUST000014,191440.93,36,8.77,Education,2023-03-09,0
CUST000015,676090.3,48,12.4,Education,2024-06-20,0
CUST000016,86823.15,60,11.38,Home,2025-11-23,0
CUST000017,150475.38,120,10.07,Home,2024-08-30,0
CUST000018,82568.69,24,9.5,Home,2024-05-26,0
CUST000019,237421.37,48,7.77,Auto,2023-12-24,0
CUST000020,267836.61,36,14.69,Home,2025-05-03,0
CUST000021,488436.83,60,8.3,Education,2023-11-25,1
CUST000022,589654.81,12,8.94,Personal,2024-12-07,0
CUST000023,230028.04,48,10.71,Personal,2023-05-03,0
CUST000024,826863.61,60,9.42,Auto,2025-08-04,0
CUST000025,291516.71,12,8.27,Education,2023-05-14,0
CUST000026,110186.64,60,13.87,Auto,2024-01-16,0
CUST000027,1017818.36,120,7.5,Education,2025-09-23,0
CUST000028,446386.85,120,13.23,Home,2023-10-15,1
CUST000029,295110.16,48,8.56,Auto,2023-06-29,0
CUST000030,511624.43,120,6.69,Home,2024-10-12,1
CUST000031,129846.28,24,15.73,Home,2024-02-16,0
CUST000032,724524.45,84,9.75,Home,2024-02-26,0
CUST000033,494528.33,84,7.39,Business,2023-05-14,0
CUST000034,43475.61,24,10.3,Auto,2023-05-17,0
CUST000035,680147.31,48,11.28,Home,2025-11-30,1
CUST000036,271427.92,60,9.37,Home,2024-02-01,0
CUST000037,294466.5,24,11.3,Home,2023-11-29,1
CUST000038,127784.69,36,8.63,Home,2024-08-05,0
CUST000039,293293.28,36,13.72,Education,2024-11-09,0
CUST000040,306526.06,48,11.53,Personal,2025-07-20,0
CUST000041,1145176.86,36,12.88,Business,2024-12-23,0
CUST000042,550552.25,84,8.58,Education,2024-01-02,1
CUST000043,460339.4,120,12.15,Business,2024-04-20,0
CUST000044,385440.7,84,8.59,Auto,2025-08-21,0
CUST000045,79303.25,36,13.83,Auto,2025-01-24,0
CUST000046,577478.87,36,6.0,Personal,2023-05-13,0
CUST000047,430013.38,12,13.47,Home,2025-06-17,0
CUST000048,340030.72,48,12.84,Home,2024-05-28,0
CUST000049,317921.04,60,11.3,Education,2024-07-30,0
CUST000050,452625.14,60,7.51,Education,2024-12-23,0
CUST000051,475984.92,60,8.43,Education,2023-08-18,0
CUST000052,686817.7,12,12.4,Personal,2025-02-13,1
CUST000053,683042.52,60,13.26,Education,2024-05-05,1
CUST000054,504885.71,36,10.88,Personal,2025-09-16,0
CUST000055,524635.92,48,9.19,Education,2025-06-20,0
CUST000056,106837.12,120,10.68,Education,2024-03-18,0
CUST000057,783052.01,60,10.63,Education,2023-11-01,0
CUST000058,523999.38,84,8.79,Auto,2025-12-27,1
CUST000059,79487.52,48,8.69,Personal,2025-12-18,0
CUST000060,582853.49,48,14.15,Business,2024-11-12,0
CUST000061,980628.19,24,7.72,Home,2023-07-16,0
CUST000062,162239.85,120,12.7,Education,2023-11-08,0
CUST000063,472028.27,84,8.38,Home,2025-05-08,0
CUST000064,745183.19,12,7.14,Home,2023-04-29,0
CUST000065,1374939.84,60,9.32,Education,2024-08-16,0
CUST000066,672152.09,48,10.91,Education,2024-07-20,1
CUST000067,369428.61,48,13.63,Home,2024-01-18,0
CUST000068,118375.61,36,11.71,Personal,2025-02-08,0
CUST000069,1293202.42,84,11.98,Personal,2023-02-03,0
CUST000070,279661.19,48,9.0,Home,2025-07-09,0
CUST000071,897456.76,12,8.67,Auto,2023-04-21,1
CUST000072,302322.32,120,12.65,Home,2025-06-12,0
CUST000073,592565.96,12,12.08,Home,2023-11-15,0
CUST000074,296868.73,24,11.92,Auto,2023-09-03,0
CUST000075,149257.08,24,9.7,Personal,2024-04-26,0
CUST000076,977496.54,36,12.55,Personal,2023-02-04,0
CUST000077,419339.3,12,11.4,Education,2025-11-24,0
CUST000078,624761.94,12,14.44,Business,2024-02-08,0
CUST000079,713470.28,12,11.91,Home,2023-02-28,1
CUST000080,269859.79,36,12.12,Home,2025-12-03,0
CUST000081,238320.39,120,6.0,Auto,2025-03-11,0
CUST000082,110554.16,60,9.54,Business,2023-01-10,0
CUST000083,166933.01,60,10.61,Business,2023-06-17,0
CUST000084,102816.27,24,14.13,Business,2024-10-15,0
CUST000085,645471.61,36,9.31,Home,2024-12-31,0
CUST000086,577300.52,12,9.55,Business,2025-06-15,0
CUST000087,346540.66,24,10.61,Education,2023-12-11,0
CUST000088,44155.98,36,14.51,Education,2024-04-17,0
CUST000089,878676.32,60,13.46,Home,2023-11-01,1
CUST000090,401321.52,36,12.67,Personal,2025-11-16,0
CUST000091,690819.17,24,7.17,Personal,2025-04-25,0
CUST000092,422128.18,24,10.03,Business,2024-09-09,0
CUST000093,701014.63,120,14.01,Home,2025-05-01,0
CUST000094,500618.65,48,12.78,Education,2024-05-21,0
CUST000095,970323.12,60,12.55,Education,2023-08-13,0
CUST000096,152310.74,60,9.31,Education,2023-01-20,0
CUST000097,295569.32,120,15.15,Education,2025-12-24,0
